doc,exp,sent_t,chain_t,umap_t,cluster_t
509,mpnet,0,0.0,0.072,0.002
510,mpnet,0,0.004,0.084,0.002
511,mpnet,0,0.002,0.076,0.002
512,mpnet,0,0.004,0.175,0.003
513,mpnet,0,0.006,0.07,0.003
514,mpnet,0,0.028,0.866,0.01
515,mpnet,0,0.007,0.102,0.002
516,mpnet,0,0.007,0.132,0.003
517,mpnet,0,0.003,0.076,0.002
518,mpnet,0,0.002,0.11,0.003
519,mpnet,0,0.002,0.076,0.003
520,mpnet,0,0.004,0.128,0.007
521,mpnet,0,0.0,0.09,0.002
522,mpnet,0,0.006,0.133,0.002
523,mpnet,0,0.002,0.123,0.002
524,mpnet,0,0.004,0.145,0.002
525,mpnet,0,0.008,0.162,0.003
526,mpnet,0,0.001,0.117,0.002
527,mpnet,0,0.001,0.05,0.002
528,mpnet,0,0.025,0.395,0.007
529,mpnet,0,0.003,0.07,0.002
530,mpnet,0,0.004,0.066,0.002
531,mpnet,0,0.01,0.194,0.003
532,mpnet,0,0.001,0.065,0.002
533,mpnet,0,0.005,0.212,0.005
534,mpnet,0,0.004,0.119,0.002
535,mpnet,0,0.004,0.182,0.004
536,mpnet,0,0.004,0.086,0.003
537,mpnet,0,0.019,0.183,0.003
538,mpnet,0,0.002,0.115,0.002
539,mpnet,0,0.002,0.09,0.002
540,mpnet,0,0.006,0.137,0.003
541,mpnet,0,0.007,0.208,0.003
542,mpnet,0,0.007,0.177,0.004
543,mpnet,0,0.003,0.072,0.002
544,mpnet,0,0.005,0.165,0.003
545,mpnet,0,0.002,0.071,0.002
546,mpnet,0,0.004,0.146,0.002
547,mpnet,0,0.021,0.102,0.002
548,mpnet,0,0.004,0.073,0.001
549,mpnet,0,0.007,0.108,0.002
550,mpnet,0,0.0,0.052,0.002
551,mpnet,0,0.006,0.18,0.003
552,mpnet,0,0.002,0.083,0.002
553,mpnet,0,0.001,0.068,0.002
554,mpnet,0,0.0,0.02,0.002
555,mpnet,0,0.002,0.072,0.002
556,mpnet,0,0.01,0.226,0.003
557,mpnet,0,0.013,0.215,0.003
558,mpnet,0,0.002,0.074,0.002
559,mpnet,0,0.001,0.078,0.003
560,mpnet,0,0.0,0.073,0.002
561,mpnet,0,0.001,0.083,0.002
562,mpnet,0,0.007,0.115,0.002
563,mpnet,0,0.003,0.073,0.002
564,mpnet,0,0.003,0.075,0.002
565,mpnet,0,0.004,0.185,0.004
566,mpnet,0,0.001,0.096,0.002
567,mpnet,0,0.001,0.067,0.002
568,mpnet,0,0.001,0.19,0.005
569,mpnet,0,0.002,0.075,0.002
570,mpnet,0,0.006,0.135,0.003
571,mpnet,0,0.003,0.067,0.002
572,mpnet,0,0.006,0.115,0.003
573,mpnet,0,0.004,0.078,0.002
574,mpnet,0,0.0,0.052,0.002
575,mpnet,0,0.003,0.082,0.003
576,mpnet,0,0.0,0.063,0.002
577,mpnet,0,0.003,0.146,0.004
578,mpnet,0,0.004,0.099,0.002
579,mpnet,0,0.0,0.063,0.002
580,mpnet,0,0.001,0.068,0.002
581,mpnet,0,0.001,0.144,0.002
582,mpnet,0,0.005,0.105,0.002
583,mpnet,0,0.004,0.128,0.003
584,mpnet,0,0.001,0.089,0.002
585,mpnet,0,0.002,0.08,0.002
587,mpnet,0,0.001,0.135,0.002
588,mpnet,0,0.002,0.089,0.002
589,mpnet,0,0.001,0.077,0.003
590,mpnet,0,0.001,0.104,0.003
591,mpnet,0,0.01,0.093,0.002
592,mpnet,0,0.005,0.146,0.002
593,mpnet,0,0.002,0.075,0.003
594,mpnet,0,0.008,0.101,0.002
595,mpnet,0,0.012,0.278,0.004
596,mpnet,0,0.0,0.009,0.001
597,mpnet,0,0.002,0.131,0.002
598,mpnet,0,0.005,0.212,0.003
599,mpnet,0,0.001,0.079,0.002
600,mpnet,0,0.0,0.01,0.001
601,mpnet,0,0.0,0.106,0.002
602,mpnet,0,0.005,0.1,0.003
603,mpnet,0,0.0,0.0,0.0
604,mpnet,0,0.007,0.184,0.004
605,mpnet,0,0.002,0.084,0.002
606,mpnet,0,0.001,0.084,0.002
607,mpnet,0,0.0,0.061,0.001
608,mpnet,0,0.002,0.064,0.002
609,mpnet,0,0.006,0.149,0.004
610,mpnet,0,0.003,0.079,0.002
611,mpnet,0,0.0,0.071,0.002
612,mpnet,0,0.003,0.087,0.001
613,mpnet,0,0.003,0.084,0.003
614,mpnet,0,0.002,0.059,0.002
615,mpnet,0,0.008,0.143,0.004
616,mpnet,0,0.005,0.119,0.002
617,mpnet,0,0.002,0.117,0.002
618,mpnet,0,0.001,0.08,0.002
619,mpnet,0,0.002,0.115,0.003
620,mpnet,0,0.002,0.066,0.001
621,mpnet,0,0.0,0.09,0.002
622,mpnet,0,0.013,0.212,0.004
623,mpnet,0,0.006,0.109,0.003
624,mpnet,0,0.017,0.229,0.003
625,mpnet,0,0.011,0.203,0.004
626,mpnet,0,0.002,0.078,0.003
627,mpnet,0,0.004,0.123,0.003
628,mpnet,0,0.002,0.077,0.002
629,mpnet,0,0.007,0.089,0.003
630,mpnet,0,0.001,0.079,0.003
631,mpnet,0,0.001,0.063,0.002
632,mpnet,0,0.004,0.116,0.002
633,mpnet,0,0.001,0.092,0.002
634,mpnet,0,0.004,0.091,0.001
635,mpnet,0,0.009,0.118,0.002
636,mpnet,0,0.001,0.097,0.002
637,mpnet,0,0.001,0.068,0.002
638,mpnet,0,0.008,0.139,0.002
639,mpnet,0,0.003,0.105,0.002
640,mpnet,0,0.007,0.183,0.004
641,mpnet,0,0.006,0.177,0.004
642,mpnet,0,0.002,0.073,0.002
643,mpnet,0,0.013,0.263,0.004
644,mpnet,0,0.003,0.09,0.003
645,mpnet,0,0.003,0.131,0.002
646,mpnet,0,0.005,0.103,0.002
647,mpnet,0,0.004,0.102,0.002
648,mpnet,0,0.003,0.299,0.006
649,mpnet,0,0.003,0.091,0.002
650,mpnet,0,0.007,0.11,0.002
651,mpnet,0,0.005,0.136,0.002
652,mpnet,0,0.0,0.102,0.003
653,mpnet,0,0.001,0.081,0.002
654,mpnet,0,0.006,0.11,0.002
655,mpnet,0,0.003,0.18,0.003
656,mpnet,0,0.001,0.089,0.003
657,mpnet,0,0.008,0.141,0.003
658,mpnet,0,0.003,0.093,0.002
659,mpnet,0,0.006,0.155,0.003
